#Data tag : 19v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 0.195          | 0.192         |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 0.009          | 0.008         |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 0.015          | 0.015         |
| 315689:6639 | 05/03/18 14:58:22 | 1111 | 1111 | 0.339          | 0.329         |
| 315690:6639 | 05/03/18 22:39:08 | 645  | 645  | 0.121          | 0.119         |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 0.025          | 0.023         |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 0.163          | 0.158         |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 0.015          | 0.015         |
| 315705:6640 | 05/04/18 12:42:46 | 700  | 700  | 0.135          | 0.133         |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 0.365          | 0.353         |
| 315721:6642 | 05/05/18 05:08:14 | 589  | 589  | 0.218          | 0.210         |
| 315741:6643 | 05/05/18 11:57:43 | 59   | 59   | 0.025          | 0.024         |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 0.119          | 0.114         |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 0.126          | 0.122         |
| 315784:6648 | 05/06/18 11:07:00 | 126  | 126  | 0.054          | 0.052         |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 0.109          | 0.106         |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 0.023          | 0.022         |
| 315790:6648 | 05/06/18 18:12:51 | 921  | 921  | 0.177          | 0.173         |
| 315800:6650 | 05/07/18 06:55:20 | 581  | 581  | 0.213          | 0.206         |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 0.101          | 0.098         |
| 315840:6654 | 05/07/18 21:19:16 | 1122 | 1122 | 0.364          | 0.354         |
| 315973:6659 | 05/08/18 23:33:11 | 855  | 855  | 0.285          | 0.278         |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 0.019          | 0.019         |
| 316058:6662 | 05/09/18 20:47:16 | 364  | 364  | 0.143          | 0.137         |
| 316059:6662 | 05/09/18 23:10:21 | 566  | 566  | 0.178          | 0.170         |
| 316060:6662 | 05/10/18 02:53:15 | 935  | 935  | 0.204          | 0.198         |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 0.006          | 0.006         |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 0.001          | 0.001         |
| 316082:6663 | 05/10/18 12:45:58 | 371  | 371  | 0.146          | 0.141         |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 0.085          | 0.082         |
| 316111:6666 | 05/10/18 22:46:45 | 48   | 48   | 0.018          | 0.015         |
| 316113:6666 | 05/10/18 23:16:41 | 64   | 64   | 0.022          | 0.020         |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 0.377          | 0.367         |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 0.263          | 0.256         |
| 316186:6674 | 05/12/18 03:00:17 | 44   | 44   | 0.017          | 0.015         |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 0.534          | 0.512         |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 0.416          | 0.401         |
| 316200:6675 | 05/13/18 02:29:14 | 10   | 10   | 0.003          | 0.002         |
| 316201:6675 | 05/13/18 02:36:34 | 498  | 498  | 0.116          | 0.110         |
| 316202:6675 | 05/13/18 05:53:19 | 403  | 403  | 0.077          | 0.075         |
| 316216:6677 | 05/13/18 11:57:38 | 442  | 442  | 0.179          | 0.171         |
| 316217:6677 | 05/13/18 15:05:03 | 264  | 264  | 0.091          | 0.088         |
| 316218:6677 | 05/13/18 16:52:47 | 1008 | 1008 | 0.250          | 0.243         |
| 316219:6677 | 05/13/18 23:33:19 | 283  | 283  | 0.050          | 0.049         |
| 316239:6681 | 05/14/18 05:52:32 | 589  | 589  | 0.217          | 0.209         |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 0.293          | 0.283         |
| 316241:6681 | 05/14/18 17:44:39 | 325  | 325  | 0.055          | 0.053         |
| 316271:6683 | 05/15/18 00:23:54 | 86   | 86   | 0.032          | 0.030         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 76   | 35981 | 35981 | 9.232             | 8.936            |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
